0: loss=1.370, reward_mean=-152.5, reward_bound=-98.9
1: loss=1.367, reward_mean=-141.4, reward_bound=-92.8
2: loss=1.359, reward_mean=-153.9, reward_bound=-107.6
3: loss=1.343, reward_mean=-162.1, reward_bound=-119.1
4: loss=1.328, reward_mean=-204.6, reward_bound=-127.3
5: loss=1.317, reward_mean=-191.3, reward_bound=-153.0
6: loss=1.362, reward_mean=-179.1, reward_bound=-116.0
7: loss=1.349, reward_mean=-165.5, reward_bound=-124.5
8: loss=1.357, reward_mean=-108.1, reward_bound=-98.1
9: loss=1.339, reward_mean=-100.8, reward_bound=-97.2
10: loss=1.357, reward_mean=-138.0, reward_bound=-124.0
11: loss=1.344, reward_mean=-124.2, reward_bound=-97.9
12: loss=1.344, reward_mean=-133.0, reward_bound=-111.0
13: loss=1.366, reward_mean=-110.0, reward_bound=-92.6
14: loss=1.342, reward_mean=-135.4, reward_bound=-94.2
15: loss=1.340, reward_mean=-93.9, reward_bound=-79.6
16: loss=1.312, reward_mean=-95.3, reward_bound=-83.7
17: loss=1.315, reward_mean=-105.1, reward_bound=-76.6
18: loss=1.290, reward_mean=-100.7, reward_bound=-84.8
19: loss=1.259, reward_mean=-94.9, reward_bound=-76.4
20: loss=1.228, reward_mean=-81.3, reward_bound=-55.9
21: loss=1.278, reward_mean=-78.2, reward_bound=-60.2
22: loss=1.228, reward_mean=-74.6, reward_bound=-57.7
23: loss=1.210, reward_mean=-67.5, reward_bound=-29.0
24: loss=1.164, reward_mean=-108.7, reward_bound=-28.3
25: loss=1.163, reward_mean=-87.5, reward_bound=-26.3
26: loss=1.123, reward_mean=-101.1, reward_bound=-26.8
27: loss=1.141, reward_mean=-138.5, reward_bound=-88.6
28: loss=1.139, reward_mean=-153.2, reward_bound=-51.8
29: loss=1.094, reward_mean=-181.3, reward_bound=-133.6
30: loss=1.046, reward_mean=-129.6, reward_bound=-60.4
31: loss=1.094, reward_mean=-93.2, reward_bound=-14.8
32: loss=1.101, reward_mean=-98.6, reward_bound=-9.0
33: loss=1.101, reward_mean=-120.4, reward_bound=-56.7
34: loss=1.139, reward_mean=-63.9, reward_bound=-26.3
35: loss=1.123, reward_mean=-33.3, reward_bound=-11.6
36: loss=1.090, reward_mean=-53.4, reward_bound=-20.9
37: loss=1.124, reward_mean=-64.4, reward_bound=3.3
38: loss=1.095, reward_mean=-57.7, reward_bound=-27.9
39: loss=1.151, reward_mean=-48.8, reward_bound=-17.6
40: loss=1.144, reward_mean=-41.2, reward_bound=-9.6
41: loss=1.100, reward_mean=-33.4, reward_bound=-4.2
42: loss=1.090, reward_mean=-26.8, reward_bound=-17.0
43: loss=1.123, reward_mean=-29.4, reward_bound=-13.5
44: loss=1.083, reward_mean=-34.5, reward_bound=-3.2
45: loss=1.086, reward_mean=-4.3, reward_bound=8.1
46: loss=1.170, reward_mean=-5.9, reward_bound=-2.4
47: loss=1.133, reward_mean=-16.8, reward_bound=-7.7
48: loss=1.132, reward_mean=-45.3, reward_bound=-0.1
49: loss=1.056, reward_mean=-24.6, reward_bound=2.4
50: loss=1.135, reward_mean=-34.4, reward_bound=-11.3
51: loss=1.139, reward_mean=-54.6, reward_bound=5.7
52: loss=1.150, reward_mean=-4.6, reward_bound=8.2
53: loss=1.081, reward_mean=-14.2, reward_bound=7.8
54: loss=1.154, reward_mean=-22.3, reward_bound=6.3
55: loss=1.106, reward_mean=2.4, reward_bound=19.5
56: loss=1.115, reward_mean=-23.1, reward_bound=14.0
57: loss=1.086, reward_mean=-23.7, reward_bound=18.3
58: loss=1.013, reward_mean=-37.6, reward_bound=3.4
59: loss=1.177, reward_mean=-16.3, reward_bound=20.2
60: loss=1.076, reward_mean=12.6, reward_bound=29.9
61: loss=1.180, reward_mean=12.5, reward_bound=30.2
62: loss=1.054, reward_mean=-10.4, reward_bound=11.2
63: loss=1.199, reward_mean=1.5, reward_bound=18.4
64: loss=0.978, reward_mean=-21.2, reward_bound=5.0
65: loss=1.155, reward_mean=6.8, reward_bound=26.7
66: loss=1.201, reward_mean=-62.9, reward_bound=18.1
67: loss=1.164, reward_mean=-14.6, reward_bound=22.7
68: loss=1.190, reward_mean=-2.1, reward_bound=21.9
69: loss=1.166, reward_mean=-28.7, reward_bound=16.8
70: loss=1.228, reward_mean=15.1, reward_bound=34.1
71: loss=1.044, reward_mean=-14.6, reward_bound=27.3
72: loss=1.235, reward_mean=-6.1, reward_bound=23.2
73: loss=1.245, reward_mean=15.5, reward_bound=29.5
74: loss=1.250, reward_mean=21.3, reward_bound=39.2
75: loss=1.236, reward_mean=15.3, reward_bound=32.0
76: loss=1.247, reward_mean=20.1, reward_bound=42.4
77: loss=0.911, reward_mean=14.7, reward_bound=34.0
78: loss=1.243, reward_mean=12.5, reward_bound=37.5
79: loss=0.941, reward_mean=28.4, reward_bound=44.1
80: loss=1.213, reward_mean=20.0, reward_bound=30.1
81: loss=1.154, reward_mean=19.2, reward_bound=27.5
82: loss=1.203, reward_mean=-7.6, reward_bound=27.2
83: loss=1.225, reward_mean=37.4, reward_bound=64.8
84: loss=1.108, reward_mean=8.9, reward_bound=38.8
85: loss=0.969, reward_mean=13.6, reward_bound=32.1
86: loss=1.131, reward_mean=22.1, reward_bound=36.7
87: loss=1.076, reward_mean=20.6, reward_bound=40.3
88: loss=1.142, reward_mean=20.6, reward_bound=42.8
89: loss=1.135, reward_mean=22.7, reward_bound=37.5
90: loss=1.090, reward_mean=16.6, reward_bound=39.5
91: loss=1.055, reward_mean=5.2, reward_bound=40.0
92: loss=1.097, reward_mean=33.8, reward_bound=50.9
93: loss=1.071, reward_mean=4.9, reward_bound=42.5
94: loss=1.086, reward_mean=8.6, reward_bound=38.8
95: loss=1.085, reward_mean=29.0, reward_bound=44.1
96: loss=1.000, reward_mean=19.2, reward_bound=33.6
97: loss=1.027, reward_mean=-0.2, reward_bound=35.5
98: loss=1.049, reward_mean=17.5, reward_bound=44.4
99: loss=0.987, reward_mean=11.9, reward_bound=36.0
100: loss=1.009, reward_mean=-17.0, reward_bound=21.0
101: loss=1.026, reward_mean=14.0, reward_bound=44.5
102: loss=0.965, reward_mean=-7.4, reward_bound=35.1
103: loss=0.948, reward_mean=41.9, reward_bound=61.4
104: loss=0.859, reward_mean=45.3, reward_bound=60.8
105: loss=0.863, reward_mean=29.5, reward_bound=42.6
106: loss=0.814, reward_mean=53.2, reward_bound=66.3
107: loss=0.798, reward_mean=46.9, reward_bound=42.5
108: loss=0.720, reward_mean=41.1, reward_bound=56.5
109: loss=0.794, reward_mean=57.4, reward_bound=41.6
110: loss=0.751, reward_mean=27.1, reward_bound=43.1
111: loss=0.746, reward_mean=18.0, reward_bound=34.8
112: loss=0.836, reward_mean=15.1, reward_bound=34.6
113: loss=0.801, reward_mean=25.8, reward_bound=45.8
114: loss=0.763, reward_mean=37.0, reward_bound=44.0
115: loss=0.801, reward_mean=35.5, reward_bound=36.5
116: loss=0.950, reward_mean=5.3, reward_bound=27.5
117: loss=0.689, reward_mean=36.9, reward_bound=54.3
118: loss=0.749, reward_mean=77.8, reward_bound=56.5
119: loss=0.926, reward_mean=2.6, reward_bound=32.8
120: loss=0.644, reward_mean=45.5, reward_bound=34.8
121: loss=0.798, reward_mean=45.1, reward_bound=46.6
122: loss=0.790, reward_mean=25.2, reward_bound=50.4
123: loss=0.831, reward_mean=34.0, reward_bound=33.3
124: loss=0.977, reward_mean=23.1, reward_bound=41.1
125: loss=0.729, reward_mean=53.9, reward_bound=50.7
126: loss=0.821, reward_mean=49.7, reward_bound=46.3
127: loss=0.731, reward_mean=43.0, reward_bound=39.4
128: loss=0.729, reward_mean=10.7, reward_bound=41.5
129: loss=0.689, reward_mean=59.4, reward_bound=50.1
130: loss=0.722, reward_mean=54.4, reward_bound=152.3
131: loss=0.732, reward_mean=72.5, reward_bound=87.7
132: loss=0.719, reward_mean=63.5, reward_bound=105.7
133: loss=0.822, reward_mean=19.1, reward_bound=40.4
134: loss=0.722, reward_mean=94.2, reward_bound=145.2
135: loss=0.652, reward_mean=52.1, reward_bound=174.6
136: loss=0.715, reward_mean=53.7, reward_bound=181.3
137: loss=0.759, reward_mean=0.0, reward_bound=58.7
138: loss=0.699, reward_mean=-16.7, reward_bound=45.9
139: loss=0.825, reward_mean=-29.8, reward_bound=19.5
140: loss=0.705, reward_mean=50.7, reward_bound=147.0
141: loss=0.715, reward_mean=-12.1, reward_bound=-1.0
142: loss=0.733, reward_mean=24.4, reward_bound=106.6
143: loss=0.683, reward_mean=88.5, reward_bound=179.5
144: loss=0.651, reward_mean=20.7, reward_bound=24.2
145: loss=0.690, reward_mean=32.0, reward_bound=161.9
146: loss=0.723, reward_mean=47.5, reward_bound=115.4
147: loss=0.669, reward_mean=18.1, reward_bound=119.2
148: loss=0.711, reward_mean=61.5, reward_bound=203.1
149: loss=0.718, reward_mean=1.9, reward_bound=120.3
150: loss=0.721, reward_mean=22.4, reward_bound=152.9
151: loss=0.665, reward_mean=65.5, reward_bound=177.3
152: loss=0.738, reward_mean=25.4, reward_bound=87.9
153: loss=0.657, reward_mean=88.4, reward_bound=177.4
154: loss=0.816, reward_mean=-40.2, reward_bound=7.8
155: loss=0.597, reward_mean=75.4, reward_bound=183.7
156: loss=0.645, reward_mean=36.7, reward_bound=139.5
157: loss=0.704, reward_mean=52.7, reward_bound=90.4
